id,cust_id_occurrence_count,canceled_line_flag,cust_cancellation_count,line_subscription_duration_days,line_one_time_purchase_flag,first_cust_sale_date,last_cust_sale_date,repeat_cust_flag,count_of_unique_lifetime_products,first_subscription_flag,subscription_occurrence_count,total_cust_lifetime_length_days,customer_subscription_change_flag,product_id,user_id,plan_start_type,plan_end_type,plan_start_date,plan_end_date,product_name,product_type,quantity,price,starter_set_count,other_set_count,blade_count,handle_count,shave_gel_count,shave_cream_count,face_wash_count,aftershave_count,lip_balm_count,razor_stand_count,face_lotion_count,travel_kit_count
1495173,1,False,0,187.8,False,2016-07-28 19:49:50.478,2016-07-28 19:49:50.478,False,1,True,1,187.8,False,511,95304,web,on_going,2016-07-28 19:49:50.478,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1531119,1,False,0,176.9,False,2016-08-08 17:53:28.793,2016-08-08 17:53:28.793,False,1,True,1,176.9,False,511,105308,web,on_going,2016-08-08 17:53:28.793,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1544109,1,False,0,173.3,False,2016-08-12 06:13:47.716,2016-08-12 06:13:47.716,False,1,True,1,173.3,False,511,105322,web,on_going,2016-08-12 06:13:47.716,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1532219,1,True,1,168.17,False,2016-08-08 21:50:39.441,2016-08-08 21:50:39.441,False,1,True,1,168.2,False,511,105938,web,web,2016-08-08 21:50:39.441,2017-01-24 01:52:10.577,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1510625,2,False,0,182.8,False,2016-08-02 18:15:56.110,2016-08-02 18:15:56.119,False,2,False,2,182.8,False,489,106557,web,on_going,2016-08-02 18:15:56.110,2017-02-01 14:24:00.000,HarrysBlades,Blades,1,16,0,0,8,0,0,0,0,0,0,0,0,0
1510626,2,False,0,182.8,False,2016-08-02 18:15:56.110,2016-08-02 18:15:56.119,False,2,True,2,182.8,False,110,106557,web,on_going,2016-08-02 18:15:56.119,2017-02-01 14:24:00.000,ShaveCream,Pre/Post Shave,1,8,0,0,0,0,0,1,0,0,0,0,0,0
1492548,1,False,0,188.6,False,2016-07-27 23:02:22.389,2016-07-27 23:02:22.389,False,1,True,1,188.6,False,511,106638,web,on_going,2016-07-27 23:02:22.389,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1501022,2,True,1,136.71,False,2016-07-30 19:54:58.823,2016-12-14 12:50:31.564,True,2,True,2,185.8,True,511,112331,web,web,2016-07-30 19:54:58.823,2016-12-14 12:50:31.579,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1938555,2,False,1,49.1,False,2016-07-30 19:54:58.823,2016-12-14 12:50:31.564,True,2,False,2,185.8,True,514,112331,web,on_going,2016-12-14 12:50:31.564,2017-02-01 14:24:00.000,Blades1GelPlan,Bundle,1,21,0,0,8,0,1,0,0,0,0,0,0,0
1538101,1,False,0,175.0,False,2016-08-10 15:31:28.663,2016-08-10 15:31:28.663,False,1,True,1,175.0,False,504,116496,web,on_going,2016-08-10 15:31:28.663,2017-02-01 14:24:00.000,Blades2GelsPlan,Bundle,1,27,0,0,8,0,2,0,0,0,0,0,0,0
